scenario,seed,controller,avg_wait,p95_wait,avg_time_loss,avg_queue,throughput,jain_fairness,switch_rate
low_demand,102,actuated,7.406106231702217,23.0,20.59577582601422,0.3363541666666667,2391,0.9954518804182604,
low_demand,102,d3qn,11.387489504617967,36.0,25.249769101595298,0.5013194444444445,2382,0.9138743114010291,
low_demand,103,webster,11.538977367979882,36.75,25.031777032690695,0.511267361111111,2386,0.9997252573836938,
low_demand,103,actuated,7.57286432160804,24.65000000000009,20.503840033500836,0.3404340277777778,2388,0.9990425547648015,
low_demand,103,d3qn,10.50251256281407,34.0,24.306855108877723,0.46859375,2388,0.9138215386086848,
low_demand,104,webster,12.060017271157168,37.0,25.297871329879104,0.5181944444444444,2316,0.9988869251378738,
low_demand,104,actuated,7.603017241379311,24.0,20.575969827586206,0.33416666666666667,2320,0.9997447256192009,
low_demand,104,d3qn,9.733362143474503,33.34999999999991,23.124965427830595,0.4207118055555556,2314,0.9705425181252411,
low_demand,105,webster,11.8058748403576,37.0,25.0221668795232,0.5148437499999999,2349,0.9986519167453368,
low_demand,105,actuated,7.368734069668649,24.0,20.157209005947323,0.3239236111111111,2354,0.9982801243917102,
low_demand,105,d3qn,10.388700084961767,35.0,23.938661852166526,0.4548958333333333,2354,0.9117252290782399,
