episode,steps,sim_seconds,total_reward,epsilon,average_loss,updates,buffer_size
140,450,7200,-2476.814821,0.162315,0.91146740,450,63000
141,450,7200,-2110.189300,0.160221,0.89665365,450,63450
142,450,7200,-1994.716888,0.158153,0.90345550,450,63900
143,450,7200,-2210.197795,0.156113,0.88832133,450,64350
144,450,7200,-1980.252120,0.154098,0.88643973,450,64800
145,450,7200,-2008.212936,0.152110,0.85444130,450,65250
146,450,7200,-2218.685755,0.150147,0.85035278,450,65700
147,450,7200,-1896.914387,0.148210,0.88141217,450,66150
148,450,7200,-1986.339720,0.146297,0.86498615,450,66600
149,450,7200,-2017.930205,0.144410,0.85580607,450,67050
150,450,7200,-1919.419197,0.142546,0.85798464,450,67500
151,450,7200,-2107.434923,0.140707,0.86610655,450,67950
152,450,7200,-2029.272127,0.138892,0.81199050,450,68400
153,450,7200,-2246.905008,0.137099,0.82623613,450,68850
154,450,7200,-2140.115379,0.135330,0.85824704,450,69300
155,450,7200,-2218.108120,0.133584,0.84335636,450,69750
156,450,7200,-2131.613600,0.131860,0.81864583,450,70200
157,450,7200,-2111.282690,0.130159,0.81627031,450,70650
158,450,7200,-2020.400729,0.128480,0.81162421,450,71100
159,450,7200,-2174.756660,0.126822,0.82059093,450,71550
160,450,7200,-1994.418945,0.125185,0.79314646,450,72000
161,450,7200,-2084.790370,0.123570,0.81772217,450,72450
162,450,7200,-1861.725389,0.121976,0.80016524,450,72900
163,450,7200,-2015.876962,0.120402,0.81620298,450,73350
164,450,7200,-2403.721062,0.118848,0.82905253,450,73800
165,450,7200,-1850.727583,0.117315,0.81757043,450,74250
166,450,7200,-1966.068304,0.115801,0.78843040,450,74700
167,450,7200,-2431.259369,0.114307,0.78461506,450,75150
168,450,7200,-2232.765314,0.112832,0.74376831,450,75600
169,450,7200,-1872.860777,0.111376,0.76777100,450,76050
170,450,7200,-1864.619588,0.109939,0.78182107,450,76500
171,450,7200,-1847.651235,0.108520,0.75598990,450,76950
172,450,7200,-2125.512577,0.107120,0.79966083,450,77400
173,450,7200,-1899.379246,0.105738,0.75291032,450,77850
174,450,7200,-2076.875802,0.104373,0.73974219,450,78300
175,450,7200,-2192.973030,0.103027,0.74646992,450,78750
